Touchpoint,Phase,Channel,it_absolute,it_respondent%,it_importance_avg,it_max_norm_resp%,it_max_nor_imp_avg,it_index,it_dfm_by_chnl,all_avge_index
Physical Store,Consideration,O,48.73%,1932,3.8,1,0.93,0.963,0.416,0.963
Family,Consideration,OD,43.15%,1711,4.1,0.89,1,0.943,0.407,0.943
Shopping List,Consideration,D,27.06%,1073,4,0.56,0.98,0.765,0.257,0.765
Retailer circular,Consideration,O,26.91%,1067,3.9,0.55,0.95,0.752,0.204,0.752
Sampling,Consideration,O,18.18%,721,3.7,0.37,0.9,0.638,0.09,0.638
Tv advert,Consideration,O,17.28%,685,3.3,0.35,0.8,0.58,0.032,0.580
Retailer's website,Consideration,D,14.40%,571,3.7,0.3,0.9,0.599,0.09,0.599
Loyalty card,Consideration,OD,10.72%,425,4,0.22,0.98,0.598,0.062,0.598
Retailer's advert,Consideration,D,10.72%,425,3.4,0.22,0.83,0.525,0.016,0.525
Friends,Consideration,OD,10.16%,403,3.4,0.21,0.83,0.519,-0.017,0.519
Social networks,Consideration,D,6.78%,269,3.4,0.14,0.83,0.484,-0.025,0.484
Ooh advert,Consideration,O,6.68%,265,3.4,0.14,0.83,0.483,-0.065,0.483
Magazine,Consideration,O,5.50%,218,3.3,0.11,0.8,0.459,-0.089,0.459
Promotions site,Consideration,D,4.24%,168,3.7,0.09,0.9,0.495,-0.014,0.495
Search engine,Consideration,D,4.24%,168,3.7,0.09,0.9,0.495,-0.014,0.495
Brand's website,Consideration,D,3.83%,152,3.7,0.08,0.9,0.491,-0.018,0.491
e-Commerce Platform,Consideration,D,3.23%,128,3.9,0.07,0.95,0.509,0,0.509
Event,Consideration,O,3.13%,124,3.4,0.06,0.83,0.447,-0.101,0.447
Food Blog,Consideration,D,2.37%,94,3.4,0.05,0.83,0.439,-0.07,0.439
E-mail newsletter,Consideration,D,1.84%,73,3.7,0.04,0.9,0.47,-0.039,0.470
Aisle,Selection,O,55.69%,2212,3.9,1,0.93,0.964,0.416,0.964
Packaging,Selection,O,47.78%,1898,3.9,0.86,0.93,0.893,0.345,0.893
Shelf,Selection,O,32.12%,1276,4,0.58,0.95,0.765,0.217,0.765
Retailer circular,Selection,O,14.25%,566,4.1,0.26,0.98,0.616,0.068,0.616
Promotions Aisle,Selection,O,12.08%,480,3.9,0.22,0.93,0.573,0.025,0.573
Loyalty card,Selection,OD,11.73%,466,4.1,0.21,0.98,0.593,0.057,0.593
On pack promotion,Selection,O,11.48%,456,4,0.21,0.95,0.579,0.031,0.579
Product display,Selection,O,10.42%,414,3.6,0.19,0.86,0.522,-0.026,0.522
Check-out Counter,Selection,O,10.37%,412,3.7,0.19,0.88,0.534,-0.014,0.534
Promo stand,Selection,O,10.35%,411,3.8,0.19,0.9,0.545,-0.003,0.545
Complementary goods,Selection,O,7.28%,289,3.6,0.13,0.86,0.494,-0.054,0.494
Digital coupon,Selection,D,7.05%,280,4.2,0.13,1,0.563,0.054,0.563
Gondola end,Selection,O,6.52%,259,3.6,0.12,0.86,0.487,-0.061,0.487
Friends/ family,Selection,OD,4.38%,174,3.8,0.08,0.9,0.492,-0.044,0.492
Shelf communication,Selection,O,3.65%,145,3.6,0.07,0.86,0.461,-0.086,0.461
In-store Poster,Selection,O,2.54%,101,3.2,0.05,0.76,0.404,-0.144,0.404
Sampling,Selection,O,2.19%,87,3.9,0.04,0.93,0.484,-0.064,0.484
In-store screen,Selection,O,1.84%,73,3.4,0.03,0.81,0.421,-0.127,0.421
Biscuit category page,Selection,D,1.66%,66,3.9,0.03,0.93,0.479,-0.03,0.479
Nutritional App,Selection,D,1.66%,66,3.7,0.03,0.88,0.455,-0.054,0.455
Favourites page,Selection,D,1.49%,59,3.8,0.03,0.9,0.466,-0.043,0.466
Biscuit product page,Selection,D,1.23%,49,3.9,0.02,0.93,0.475,-0.034,0.475
Online promotions page,Selection,D,1.01%,40,4.1,0.02,0.98,0.497,-0.012,0.497
e-Commerce Platform,Selection,D,1.01%,40,3.7,0.02,0.88,0.45,-0.059,0.450
Search Box,Selection,D,0.91%,36,3.8,0.02,0.9,0.461,-0.048,0.461
Delivery slot page,Selection,D,0.86%,34,3.7,0.02,0.88,0.448,-0.061,0.448
Online store,Selection,D,0.58%,23,3.6,0.01,0.86,0.434,-0.075,0.434
Search engine,Selection,D,0.58%,23,3.8,0.01,0.9,0.458,-0.051,0.458
In app advert,Selection,D,0.38%,15,3.7,0.01,0.88,0.444,-0.065,0.444
Pop-up message,Selection,D,0.38%,15,3.6,0.01,0.86,0.432,-0.077,0.432
Banner advert,Selection,D,0.33%,13,3.2,0.01,0.76,0.384,-0.125,0.384
Check-out page,Selection,D,0.25%,10,3.5,0,0.83,0.419,-0.09,0.419
