Touchpoint,Phase,Channel,fr_absolute,fr_respondent%,fr_importance_avg,fr_max_norm_resp%,fr_max_nor_imp_avg,fr_index,fr_dfm_by_chnl,de_absolute,de_respondent%,de_importance_avg,de_max_norm_resp%,de_max_nor_imp_avg,de_index,de_dfm_by_chnl,it_absolute,it_respondent%,it_importance_avg,it_max_norm_resp%,it_max_nor_imp_avg,it_index,it_dfm_by_chnl,all_avge_index
Brand's website,Consideration,O,22,2.48%,3.5,0.04,0.83,0.437,0.001,98,9.97%,3.6,0.2,0.9,0.552,-0.013,129,3.90%,3.7,0.07,0.93,0.5,0.051,0.496
Digital coupon,Consideration,O,35,3.95%,3.6,0.06,0.86,0.461,0.025,49,4.98%,3.7,0.1,0.93,0.514,-0.052,131,3.96%,3.9,0.08,0.98,0.525,0.077,0.500
Experts/ influencers,Consideration,O,51,5.75%,3.4,0.09,0.81,0.451,0.015,74,7.53%,3.4,0.15,0.85,0.502,-0.063,151,4.56%,3.3,0.09,0.83,0.456,0.007,0.470
Food App,Consideration,O,87,9.81%,3.4,0.16,0.81,0.484,0.048,378,38.45%,4,0.79,1,0.894,0.329,573,17.32%,3.6,0.33,0.9,0.615,0.166,0.664
Friends/ family,Consideration,OD,342,38.56%,3.8,0.62,0.9,0.764,0.295,55,5.60%,3.5,0.11,0.88,0.495,-0.052,430,13.00%,3.9,0.25,0.98,0.611,0.185,0.623
Loyalty card,Consideration,OD,115,12.97%,3.9,0.21,0.93,0.569,0.1,77,7.83%,3.5,0.16,0.88,0.518,-0.029,132,3.99%,3.4,0.08,0.85,0.463,0.036,0.517
Newspaper/ magazine advert,Consideration,O,39,4.40%,3,0.07,0.71,0.393,-0.043,181,18.41%,3.5,0.38,0.88,0.626,0.061,355,10.73%,3.4,0.2,0.85,0.527,0.079,0.515
Newspaper/ magazine article,Consideration,O,106,11.95%,3.3,0.19,0.79,0.49,0.054,17,1.73%,3.8,0.04,0.95,0.493,-0.072,,,,0,0,0,-0.448,0.328
Ooh advert,Consideration,O,31,3.49%,3.1,0.06,0.74,0.397,-0.039,67,6.82%,3.2,0.14,0.8,0.47,-0.095,178,5.38%,3.2,0.1,0.8,0.451,0.003,0.439
Physical Store,Consideration,O,170,19.17%,3.3,0.31,0.79,0.548,0.112,188,19.13%,3.4,0.39,0.85,0.621,0.056,1046,31.62%,3.4,0.6,0.85,0.726,0.277,0.632
Push notification,Consideration,D,17,1.92%,3.1,0.03,0.74,0.385,-0.15,38,3.87%,3.4,0.08,0.85,0.465,-0.213,60,1.81%,3.5,0.03,0.88,0.455,-0.073,0.435
Retailer circular,Consideration,O,191,21.53%,3.8,0.35,0.9,0.627,0.191,377,38.35%,3.7,0.79,0.93,0.855,0.29,1406,42.50%,3.8,0.81,0.95,0.879,0.431,0.787
Retailer email / newsletter,Consideration,OD,12,1.35%,2.8,0.02,0.67,0.344,-0.125,80,8.14%,3.6,0.17,0.9,0.533,-0.013,68,2.06%,3.8,0.04,0.95,0.495,0.068,0.457
Retailer's Magazine,Consideration,O,43,4.85%,3.6,0.08,0.86,0.468,0.032,109,11.09%,3.6,0.23,0.9,0.564,-0.002,712,21.52%,3.7,0.41,0.93,0.667,0.219,0.566
Retailer's website,Consideration,D,22,2.48%,3.7,0.04,0.88,0.461,-0.074,104,10.58%,3.7,0.22,0.93,0.571,-0.107,107,3.23%,3.6,0.06,0.9,0.481,-0.047,0.504
Sampling,Consideration,O,20,2.25%,3.3,0.04,0.79,0.411,-0.025,37,3.76%,3.6,0.08,0.9,0.489,-0.077,85,2.57%,3.7,0.05,0.93,0.487,0.038,0.462
Search engine,Consideration,D,47,5.30%,3.4,0.09,0.81,0.448,-0.087,108,10.99%,3.7,0.22,0.93,0.575,-0.103,229,6.92%,3.5,0.13,0.88,0.503,-0.025,0.509
Shopping List,Consideration,O,548,61.78%,4.2,1,1,1,0.564,480,48.83%,4,1,1,1,0.435,1739,52.57%,4,1,1,1,0.552,1.000
Social networks,Consideration,D,119,13.42%,3.5,0.22,0.83,0.525,-0.01,90,9.16%,3.5,0.19,0.88,0.531,-0.146,166,5.02%,3.2,0.1,0.8,0.448,-0.08,0.501
Specialist website,Consideration,D,28,3.16%,3.3,0.05,0.79,0.418,-0.117,85,8.65%,3.8,0.18,0.95,0.564,-0.114,178,5.38%,3.4,0.1,0.85,0.476,-0.052,0.486
Traditional coupon,Consideration,O,61,6.88%,3.8,0.11,0.9,0.508,0.072,85,8.65%,3.9,0.18,0.98,0.576,0.011,181,5.47%,3.8,0.1,0.95,0.527,0.079,0.537
Tv advert,Consideration,O,55,6.20%,3.3,0.1,0.79,0.443,0.007,98,9.97%,3.4,0.2,0.85,0.527,-0.038,377,11.40%,3.2,0.22,0.8,0.508,0.06,0.493
Video sharing platform,Consideration,D,70,7.89%,3.5,0.13,0.83,0.481,-0.054,122,12.41%,3.7,0.25,0.93,0.59,-0.088,208,6.29%,3.5,0.12,0.88,0.497,-0.031,0.523
Aisle,Selection,O,679,75.53%,3.9,1,0.95,0.976,0.54,278,60.04%,3.9,1,0.95,0.976,0.411,2144,64.40%,3.8,1,0.95,0.975,0.527,0.976
Complementary goods (online),Selection,D,,,,0,0,0,-0.535,25,5.40%,3.9,0.09,0.95,0.521,-0.157,,,,0,0,0,-0.528,0.174
Complementary goods aisle,Selection,O,384,42.71%,3.8,0.57,0.93,0.746,0.31,228,49.24%,3.8,0.82,0.93,0.873,0.308,1228,36.89%,3.6,0.57,0.9,0.736,0.288,0.785
Delivery Page,Selection,D,,,,0,0,0,-0.535,15,3.24%,4.1,0.05,1,0.527,-0.151,,,,0,0,0,-0.528,0.176
Favourites page,Selection,D,,,,0,0,0,-0.535,5,1.08%,3.6,0.02,0.88,0.448,-0.23,,,,0,0,0,-0.528,0.149
Free standing display unit,Selection,O,31,3.45%,3.4,0.05,0.83,0.437,0.001,26,5.62%,3.9,0.09,0.95,0.522,-0.043,111,3.33%,3.2,0.05,0.8,0.426,-0.023,0.462
Friends/ family,Selection,OD,52,5.78%,3.8,0.08,0.93,0.502,0.032,73,15.77%,3.9,0.26,0.95,0.607,0.06,137,4.12%,3.8,0.06,0.95,0.507,0.08,0.539
Gondola end,Selection,O,106,11.79%,3.5,0.16,0.85,0.505,0.069,36,7.78%,3.8,0.13,0.93,0.528,-0.037,215,6.46%,3.4,0.1,0.85,0.475,0.027,0.503
In-store screen,Selection,O,8,0.89%,2.9,0.01,0.71,0.36,-0.076,8,1.73%,4,0.03,0.98,0.502,-0.063,21,0.63%,3.2,0.01,0.8,0.405,-0.044,0.422
Loyalty card,Selection,OD,109,12.12%,4.1,0.16,1,0.58,0.111,39,8.42%,3.6,0.14,0.88,0.509,-0.038,380,11.41%,4,0.18,1,0.589,0.162,0.559
Mobile Phone,Selection,D,14,1.56%,3.3,0.02,0.8,0.413,-0.122,26,5.62%,3.7,0.09,0.9,0.498,-0.18,,,,0,0,0,-0.528,0.304
On pack promotion,Selection,O,119,13.24%,3.9,0.18,0.95,0.563,0.127,50,10.80%,3.5,0.18,0.85,0.517,-0.048,,,,0,0,0,-0.448,0.360
On-line advert,Selection,D,,,,0,0,0,-0.535,13,2.81%,3.6,0.05,0.88,0.462,-0.215,,,,0,0,0,-0.528,0.154
Online deal/ promotion,Selection,D,,,,0,0,0,-0.535,25,5.40%,3.8,0.09,0.93,0.508,-0.169,,,,0,0,0,-0.528,0.169
Packaging,Selection,O,360,40.04%,3.8,0.53,0.93,0.729,0.293,214,46.22%,3.9,0.77,0.95,0.861,0.295,1113,33.43%,3.9,0.52,0.98,0.747,0.299,0.779
Product display,Selection,O,26,2.89%,3.6,0.04,0.88,0.458,0.022,61,13.17%,3.8,0.22,0.93,0.573,0.008,147,4.42%,3.4,0.07,0.85,0.459,0.011,0.497
Promo stand,Selection,O,165,18.35%,3.9,0.24,0.95,0.597,0.161,130,28.08%,3.7,0.47,0.9,0.685,0.12,791,23.76%,3.7,0.37,0.93,0.647,0.198,0.643
Push notification,Selection,D,19,2.11%,3.4,0.03,0.83,0.429,-0.106,23,4.97%,4,0.08,0.98,0.529,-0.148,62,1.86%,3.6,0.03,0.9,0.464,-0.064,0.474
Retailer circular,Selection,O,69,7.68%,4,0.1,0.98,0.539,0.103,101,21.81%,3.6,0.36,0.88,0.621,0.056,591,17.75%,3.8,0.28,0.95,0.613,0.164,0.591
Shelf,Selection,O,343,38.15%,4,0.51,0.98,0.74,0.304,265,57.24%,3.9,0.95,0.95,0.952,0.387,1185,35.60%,3.9,0.55,0.98,0.764,0.315,0.819
Shelf communication,Selection,O,45,5.01%,3.6,0.07,0.88,0.472,0.036,61,13.17%,3.4,0.22,0.83,0.524,-0.041,263,7.90%,3.4,0.12,0.85,0.486,0.038,0.494
Traditional coupon,Selection,O,56,6.23%,3.9,0.08,0.95,0.517,0.081,25,5.40%,3.9,0.09,0.95,0.521,-0.044,294,8.83%,4,0.14,1,0.569,0.12,0.536
