"jrn_trigger: Thinking of that last time, what was the main reason you needed to buy ready-made sauce?|Thinking of that last time, what was the main reason you needed to buy pesto?|Thinking of that last time, what was the main reason you needed to buy packaged tomato products?",it_all_respondent net relative,it_redsauce_respondent net relative,it_pesto_respondent net relative,it_tomato_respondent net relative,it_meat_respondent net relative,fr_all_respondent net relative,fr_redsauce_respondent net relative,fr_bolegnese_respondent net relative,fr_pesto_respondent net relative,fr_tomato_respondent net relative,de_redsauce_respondent net relative,de_pesto_respondent net relative,de_tomato_respondent net relative
A particular meal came to mind,,,,,,5.78%,13.36%,,,15.80%,,,
I discovered I had run out,20.64%,16.63%,21.74%,16.63%,17.43%,17.30%,18.62%,16.47%,17.52%,17.66%,15.18%,15.30%,21.29%
I got a discount coupon,2.24%,2.98%,1.78%,2.98%,2.06%,1.84%,0.99%,1.74%,1.97%,3.72%,2.20%,1.80%,3.13%
I got a discount through a store loyalty card,2.18%,2.91%,1.41%,2.91%,2.75%,1.79%,0.99%,1.74%,1.51%,2.60%,1.40%,2.30%,2.15%
I had a craving for a pasta meal,13.39%,10.14%,15.88%,10.14%,10.78%,16.71%,15.44%,11.23%,26.33%,11.71%,18.88%,23.60%,17.38%
I had a craving for spaghetti bolognese,,,,,,6.98%,,24.65%,,,,,
I needed to make a quick meal,15.78%,18.79%,16.62%,18.79%,18.12%,12.25%,13.47%,12.87%,10.09%,12.45%,22.88%,12%,12.50%
I noticed it in store while buying something else,11.33%,12.16%,11.65%,12.16%,10.09%,4.38%,3.61%,3.82%,7.54%,2.42%,5.89%,5.60%,2.73%
I read about it in a magazine/online magazine,0.94%,1.12%,0.59%,1.12%,1.83%,0.67%,0.22%,0.76%,1.04%,0.37%,1.70%,2.20%,0.98%
I saw a price promotion for the brand,8.01%,8.20%,7.42%,8.20%,6.65%,4.60%,5.81%,3.82%,3.60%,4.46%,6.49%,7.50%,6.84%
I saw the brand advertised on TV,2.86%,3.65%,2.45%,3.65%,3.90%,2.43%,2.85%,1.20%,3.02%,2.23%,2.10%,2.60%,0.98%
I saw the brand on social media,0.79%,0.97%,0.89%,0.97%,0.92%,1.17%,0.66%,0.98%,1.16%,1.12%,1.10%,2.30%,1.17%
I tried a sample out of home,,,,,,0.53%,1.20%,0.55%,,0.56%,,,
I wanted to try something new,4.42%,6.64%,3.19%,6.64%,7.80%,2.82%,2.63%,0.87%,4.99%,1.67%,5.09%,7.00%,6.05%
I was asked to buy it,3.06%,2.39%,3.26%,2.39%,2.98%,3.35%,2.63%,3.71%,3.13%,4.28%,2.40%,2.70%,2.93%
I was making food plans for the next few days,9.92%,9.62%,9.27%,9.62%,11.01%,11.80%,12.49%,9.81%,12.65%,12.08%,9.59%,10.80%,14.26%
I was writing my shopping list,4.45%,3.80%,3.86%,3.80%,3.67%,5.61%,5.04%,5.78%,5.45%,6.88%,5.09%,4.30%,7.62%
