ctm_occasion_in_mind: What kind of occasion was it?,fr_respondent net relative,de_respondent net relative,gr_respondent net relative,
A snack inbetween meals,17.97%,11.20%,19.96%,16.38%
As a distraction for children,15.63%,11.33%,3.33%,10.09%
To have with guests visiting,14.06%,8.30%,11.46%,11.27%
With a coffee/tea,13.80%,11.07%,20.33%,15.07%
On the couch watching TV,12.50%,21.21%,8.32%,14.01%
Dessert,7.29%,12.25%,11.65%,10.40%
To put in a lunchbox,5.47%,8.17%,10.91%,8.18%
On-the-go,5.47%,5.01%,3.70%,4.72%
To take to someone's home,4.17%,7.38%,3.51%,5.02%
While working,3.65%,4.08%,6.84%,4.86%
