Touchpoint,Phase,Channel,fr_absolute,fr_respondent%,fr_importance_avg,fr_max_norm_resp%,fr_max_nor_imp_avg,fr_index,fr_dfm_by_chnl,de_absolute,de_respondent%,de_importance_avg,de_max_norm_resp%,de_max_nor_imp_avg,de_index,de_dfm_by_chnl,gr_absolute,gr_respondent%,gr_importance_avg,gr_max_norm_resp%,gr_max_nor_imp_avg,gr_index,gr_dfm_by_chnl,all_avge_index
Brand's website,Consideration,D,37,1.85%,3.3,0.04,0.77,0.403,-0.11,150,7.68%,4.1,0.18,0.95,0.566,-0.01,37,1.86%,3.6,0.03,0.84,0.436,-0.08,0.468
E-mail newsletter,Consideration,D,23,1.15%,3.5,0.02,0.81,0.419,-0.09,111,5.69%,4.2,0.13,0.98,0.554,-0.02,55,2.77%,3.6,0.05,0.84,0.444,-0.07,0.472
Experts/ influencers,Consideration,D,48,2.40%,3,0.05,0.70,0.373,-0.14,61,3.13%,4.1,0.07,0.95,0.513,-0.06,32,1.61%,3.3,0.03,0.77,0.398,-0.12,0.428
Friends/ family,Consideration,OD,619,31.00%,4,0.63,0.93,0.782,0.27,506,25.92%,4.2,0.60,0.98,0.788,0.23,610,30.67%,4.1,0.56,0.95,0.758,0.26,0.776
Loyalty card,Consideration,OD,418,20.93%,4.1,0.43,0.95,0.691,0.18,204,10.45%,3.8,0.24,0.88,0.563,0.00,213,10.71%,3.8,0.20,0.88,0.540,0.04,0.598
Magazine,Consideration,O,219,10.97%,3.3,0.22,0.77,0.496,-0.01,323,16.55%,3.9,0.38,0.91,0.645,0.08,93,4.68%,3.1,0.09,0.72,0.403,-0.11,0.515
Nutritional App,Consideration,D,98,4.91%,3.8,0.10,0.88,0.492,-0.02,166,8.50%,4.3,0.20,1.00,0.598,0.02,251,12.62%,4.3,0.23,1.00,0.616,0.10,0.569
Ooh advert,Consideration,O,75,3.76%,3.1,0.08,0.72,0.399,-0.11,110,5.64%,3.8,0.13,0.88,0.507,-0.06,78,3.92%,2.8,0.07,0.65,0.362,-0.15,0.422
Physical Store,Consideration,O,977,48.92%,3.8,1.00,0.88,0.942,0.43,844,43.24%,3.6,1.00,0.84,0.919,0.35,1085,54.55%,3.8,1.00,0.88,0.942,0.43,0.934
Product display,Consideration,O,291,14.57%,3.4,0.30,0.79,0.544,0.04,635,32.53%,3.6,0.75,0.84,0.795,0.23,574,28.86%,3.3,0.53,0.77,0.648,0.13,0.662
