jrn_trigger: What was your main reason for wanting to buy sweet snacks?,it_respondent net relative
I had a craving for sweet snacks,26.04%
I noticed it in store while I was shopping for other things,15.65%
It was part of my planned grocery shopping,12.91%
I noticed I had run out,9.27%
I noticed a promotion on a leaflet from the store,7.38%
I was asked to buy it by someone in my household,7.38%
I was hungry,5.98%
I was writing a shopping list,5.88%
I was planning to be out all day or travelling,2.49%
My children were hungry,2.12%
I was planning ahead for when snacks might be needed (e.g. birthday party),1.52%
I had visitors coming to my home,1.52%
I had a recipe that needed certain biscuits,1.15%
I was visiting someone,0.72%
