jrn_importance: How important were each of these steps in determining your final purchase decision?,,Channel,fr_respondent net relative,fr_respondent absolute,fr_jrn_importance - average,fr_max_norm_resp%,fr_max_nor_imp_avg,fr_index,fr_dfm_by_chnl,it_respondent net relative,it_respondent absolute,it_jrn_importance - average,it_max_norm_resp%,it_max_nor_imp_avg,it_index,it_dfm_by_chnl,all_avge_index
Brand's website,Consideration,O,2.56%,23,3.5,0.04,0.85,0.447,-0.045,7.94%,34,3.6,3.5,0.86,0.14,0.497,0.292
Digital coupon,Consideration,O,3.33%,30,3.8,0.05,0.93,0.490,-0.002,5.37%,23,3.7,4.5,0.88,0.18,0.529,0.333
Experts/ influencers,Consideration,O,5.78%,52,3.3,0.09,0.80,0.449,-0.043,3.50%,15,3.2,5.5,0.76,0.22,0.489,0.332
Food App,Consideration,O,8.67%,78,3.2,0.14,0.78,0.460,-0.032,,,,6.5,0.00,0.25,0.127,0.358
Friends/ family,Consideration,OD,39.56%,356,3.8,0.64,0.93,0.783,0.303,16.12%,69,3.6,7.5,0.86,0.29,0.576,0.539
Loyalty card,Consideration,OD,11.56%,104,3.9,0.19,0.95,0.569,0.089,13.55%,58,3.9,8.5,0.93,0.33,0.631,0.451
Newspaper/ magazine advert,Consideration,O,4.89%,44,2.9,0.08,0.71,0.393,-0.099,6.54%,28,3.4,9.5,0.81,0.37,0.591,0.383
Newspaper/ magazine article,Consideration,OD,9.11%,82,3.2,0.15,0.78,0.464,-0.016,11.68%,50,3.4,10.5,0.81,0.41,0.611,0.438
Ooh advert,Consideration,O,5.56%,50,3.1,0.09,0.76,0.423,-0.069,7.71%,33,3.3,11.5,0.79,0.45,0.618,0.437
Physical Store,Consideration,O,21.22%,191,3.3,0.34,0.80,0.574,0.082,30.37%,130,3.5,12.5,0.83,0.49,0.662,0.532
Push notification,Consideration,D,1.56%,14,3.1,0.03,0.76,0.391,-0.116,2.34%,10,3.5,13.5,0.83,0.53,0.681,0.460
Retailer circular,Consideration,O,23.89%,215,3.8,0.39,0.93,0.656,0.164,42.06%,180,3.9,14.5,0.93,0.57,0.749,0.613
Retailer email / newsletter,Consideration,OD,0.78%,7,4,0.01,0.98,0.494,0.014,4.91%,21,3.7,15.5,0.88,0.61,0.744,0.551
Retailer's Magazine,Consideration,O,5.33%,48,3.2,0.09,0.78,0.433,-0.059,20.33%,87,3.7,16.5,0.88,0.65,0.764,0.540
Retailer's website,Consideration,D,2.22%,20,3.2,0.04,0.78,0.408,-0.098,3.50%,15,3.6,17.5,0.86,0.69,0.772,0.547
Sampling,Consideration,O,2.44%,22,3.2,0.04,0.78,0.410,-0.082,2.10%,9,3.8,18.5,0.90,0.73,0.815,0.568
Search engine,Consideration,D,4.11%,37,3.4,0.07,0.83,0.448,-0.058,10.98%,47,3.5,19.5,0.83,0.76,0.799,0.606
Shopping List,Consideration,O,61.89%,557,4.1,1.00,1.00,1.000,0.508,52.34%,224,4,20.5,0.95,0.80,0.878,0.902
Social networks,Consideration,D,10.67%,96,3.2,0.17,0.78,0.476,-0.030,5.84%,25,3.3,21.5,0.79,0.84,0.814,0.660
Specialist website,Consideration,D,3.22%,29,3.2,0.05,0.78,0.416,-0.090,6.54%,28,3.5,22.5,0.83,0.88,0.858,0.649
Traditional coupon,Consideration,O,6.44%,58,3.8,0.10,0.93,0.515,0.023,6.31%,27,3.7,23.5,0.88,0.92,0.901,0.719
Tv advert,Consideration,O,6.11%,55,2.9,0.10,0.71,0.403,-0.089,14.72%,63,3.4,24.5,0.81,0.96,0.885,0.682
Video sharing platform,Consideration,D,7.44%,67,3.5,0.12,0.85,0.487,-0.019,7.01%,30,3.4,25.5,0.81,1.00,0.905,0.743
Aisle,Selection,O,72.82%,659,3.8,,,,,68.52%,296,3.8,1.00,0.95,0.975,0.489,0.488
Complementary goods aisle,Selection,D,53.70%,486,3.7,0.74,0.93,0.831,0.366,35.88%,155,3.7,0.74,0.93,0.831,0.366,0.831
Free standing display unit,Selection,D,2.98%,27,3.7,0.04,0.93,0.483,0.018,3.47%,15,2.9,0.04,0.93,0.483,0.018,0.483
Fridge,Selection,O,,,,0.00,0.00,0.000,-0.486,3.94%,17,3.8,0.00,0.00,0.000,-0.486,0.000
Friends/ family,Selection,OD,5.08%,46,3.9,0.07,0.98,0.522,0.053,4.40%,19,3.9,0.07,0.98,0.522,0.053,0.522
Gondola end,Selection,O,9.17%,83,3.6,0.13,0.90,0.513,0.027,8.80%,38,3.4,0.13,0.90,0.513,0.027,0.513
