Touchpoint,Phase,Channel,aus_absolute,aus_respondent%,aus_importance_avg,aus_max_norm_resp%,aus_max_nor_imp_avg,aus_index,aus_dfm_by_chnl,fr_absolute,fr_respondent%,fr_importance_avg,fr_max_norm_resp%,fr_max_nor_imp_avg,fr_index,fr_dfm_by_chnl,au_absolute,au_respondent%,au_importance_avg,au_max_norm_resp%,au_max_nor_imp_avg,au_index,au_dfm_by_chnl,de_absolute,de_respondent%,de_importance_avg,de_max_norm_resp%,de_max_nor_imp_avg,de_index,de_dfm_by_chnl,gr_absolute,gr_respondent%,gr_importance_avg,gr_max_norm_resp%,gr_max_nor_imp_avg,gr_index,gr_dfm_by_chnl,ch_absolute,ch_respondent%,ch_importance_avg,ch_max_norm_resp%,ch_max_nor_imp_avg,ch_index,ch_dfm_by_chnl,us_absolute,usa_respondent%,us_importance_avg,us_max_norm_resp%,us_max_nor_imp_avg,us_index,us_dfm_by_chnl,all_avge_index
Banner advert,Consideration,D,60,0.042,2.4,0.09,0.80,0.443,-0.123,57,0.034,2.6,0.06,0.84,0.450,-0.088,60,0.042,2.4,0.09,0.80,0.443,-0.123,93,0.050,2.2,0.09,0.73,0.413,-0.120,61,0.036,2.5,0.05,0.74,0.393,-0.125,58,0.055,2.5,0.14,0.83,0.488,-0.108,68,0.041,2.5,0.07,0.78,0.427,-0.123,0.437
Billboard advert,Consideration,O,24,0.017,2.4,0.03,0.80,0.417,-0.103,65,0.039,2.4,0.07,0.77,0.422,-0.092,24,0.017,2.4,0.03,0.80,0.417,-0.103,117,0.063,2.3,0.12,0.77,0.442,-0.077,61,0.036,2.4,0.05,0.71,0.378,-0.134,75,0.071,2.3,0.18,0.77,0.475,-0.074,31,0.019,2.7,0.03,0.84,0.438,-0.094,0.427
Blog/ forum,Consideration,D,82,0.058,2.7,0.12,0.90,0.509,-0.057,125,0.075,2.8,0.14,0.90,0.520,-0.019,82,0.058,2.7,0.12,0.90,0.509,-0.057,63,0.034,2.8,0.06,0.93,0.498,-0.035,126,0.075,3.1,0.11,0.91,0.509,-0.010,32,0.030,2.5,0.08,0.83,0.456,-0.140,113,0.069,2.9,0.12,0.91,0.513,-0.037,0.502
Brand's website,Consideration,D,82,0.058,2.7,0.12,0.90,0.509,-0.057,68,0.041,2.5,0.07,0.81,0.440,-0.098,82,0.058,2.7,0.12,0.90,0.509,-0.057,53,0.028,2.5,0.05,0.83,0.443,-0.090,55,0.033,2.8,0.05,0.82,0.435,-0.084,31,0.029,2.6,0.08,0.87,0.471,-0.125,86,0.052,2.8,0.09,0.88,0.483,-0.067,0.470
Car park banner,Consideration,O,43,0.030,2.8,0.06,0.93,0.498,-0.023,121,0.072,2.3,0.13,0.74,0.437,-0.077,43,0.030,2.8,0.06,0.93,0.498,-0.023,175,0.094,2.3,0.18,0.77,0.471,-0.048,85,0.051,2.5,0.07,0.74,0.403,-0.110,95,0.090,2.4,0.23,0.80,0.516,-0.032,54,0.033,2.4,0.06,0.75,0.404,-0.129,0.461
Friends/ family/ colleagues,Consideration,OD,359,0.254,3,0.52,1.00,0.758,0.319,402,0.241,3,0.44,0.97,0.702,0.220,359,0.254,3,0.52,1.00,0.758,0.319,593,0.318,3,0.60,1.00,0.798,0.342,233,0.139,3.4,0.19,1.00,0.597,0.140,222,0.210,3,0.54,1.00,0.771,0.288,349,0.212,3.2,0.37,1.00,0.685,0.262,0.724
In-store radio,Consideration,O,25,0.018,2,0.04,0.67,0.351,-0.169,92,0.055,2.4,0.10,0.77,0.437,-0.077,25,0.018,2,0.04,0.67,0.351,-0.169,59,0.032,2.4,0.06,0.80,0.430,-0.090,35,0.021,2.6,0.03,0.76,0.397,-0.116,39,0.037,2.2,0.10,0.73,0.414,-0.134,22,0.013,2.3,0.02,0.72,0.371,-0.162,0.393
Newspaper/ magazine article,Consideration,O,226,0.160,2.6,0.32,0.87,0.595,0.075,280,0.166,2.7,0.30,0.87,0.587,0.073,226,0.160,2.6,0.32,0.87,0.595,0.075,440,0.236,2.7,0.44,0.90,0.671,0.152,307,0.184,2.9,0.26,0.85,0.555,0.042,315,0.298,2.8,0.77,0.93,0.852,0.303,177,0.108,2.9,0.19,0.91,0.547,0.014,0.629
Retailer circular,Consideration,O,697,0.493,2.9,1.00,0.97,0.983,0.463,920,0.551,2.9,1.00,0.94,0.968,0.454,697,0.493,2.9,1.00,0.97,0.983,0.463,994,0.532,3,1.00,1.00,1.000,0.481,1196,0.715,3.2,1.00,0.94,0.971,0.458,409,0.387,2.8,1.00,0.93,0.967,0.418,943,0.574,3.1,1.00,0.97,0.984,0.452,0.979
Retailer's website,Consideration,D,222,0.157,2.9,0.32,0.97,0.643,0.076,92,0.055,3,0.10,0.97,0.534,-0.005,222,0.157,2.9,0.32,0.97,0.643,0.076,113,0.061,2.8,0.11,0.93,0.524,-0.010,208,0.124,3.3,0.17,0.97,0.572,0.054,110,0.104,2.9,0.27,0.97,0.618,0.022,259,0.158,3.1,0.27,0.97,0.622,0.072,0.593
