"ctm_inspiration_source: Thinking of the last time you cooked pasta, where did you go for information and/or inspiration?",au_respondent net relative,fr_respondent net relative,de_respondent net relative,gr_respondent net relative,ch_respondent net relative,us_respondent net relative,,,,,
Online recipe site,19.66%,18.94%,25.21%,21.56%,17.74%,27.00%,,,,,
Cookbook,19.56%,14.82%,19.43%,10.20%,21.23%,17.70%,,,,,
General search on Google,19.51%,13.05%,16.82%,25.38%,16.38%,19.00%,,,,,
Ask a friend,15.07%,21.34%,15.97%,7.24%,14.03%,13.07%,,,,,
Ask parent/grandparent,13.22%,25.18%,13.27%,18.74%,15.16%,12.87%,,,,,
Cooking magazines,9.71%,5.37%,8.72%,5.93%,,7.33%,,,,,
Store magazines,7.56%,4.41%,4.98%,5.43%,,2.65%,,,,,
Cooking show,7.22%,5.37%,4.98%,12.06%,5.23%,8.63%,,,,,
Retailer website,4.73%,1.49%,2.61%,3.42%,3.11%,5.50%,,,,,
Take away recipe booklets/leaflet,4.68%,2.11%,7.58%,5.18%,0%,4.29%,,,,,
Recipe App,4.39%,6.76%,8.53%,16.08%,7.66%,8.24%,,,,,
Celebrity chef suggestions,2%,1.10%,1.47%,7.69%,,2.12%,,,,,
Celebrity chef suggestion,,,,,1.74%,,,,,,
"Cooking magazines (Betty Bossi, Kochen)",,,,,8.72%,,,,,,
"Store cooking magazines (Fooby, Migusto)",,,,,7.73%,,,,,,
Take away recipe booklets/folders from the store,,,,,5.23%,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
