"cnt_needs: Which of the following statements would you use to complete the sentence, 'I think of pasta when…'?",au_respondent net relative,fr_respondent net relative,de_respondent net relative,gr_respondent net relative,ch_respondent net relative,us_respondent net relative,tu_respondent net relative
I want to prepare a meal quickly,34.59%,39.52%,31.75%,51.76%,34.19%,32.11%,36.74%
I want a good value for money meal,29.27%,20.58%,22.18%,20.75%,20.47%,25.12%,15.83%
I want to make a filling meal,27.76%,16.40%,18.72%,19.35%,15.31%,29.46%,24.31%
I crave Italian food,23.51%,11.65%,29.48%,13.02%,26.08%,40.16%,12.38%
I need something everyone likes,22.44%,26.38%,24.69%,28.04%,23.50%,23.82%,15.78%
I'm planning meals for the week,18.68%,9.06%,16.21%,10.40%,11.14%,19.38%,8.84%
I need to cook for myself,13.12%,13.62%,18.53%,13.62%,20.09%,11.28%,17.92%
I need something versatile,11.61%,7.48%,11.09%,19.50%,5.61%,10.13%,7.49%
I can't think of anything else to cook,10.78%,21.29%,12.37%,17.09%,13.72%,9.79%,25.66%
I need to stock up on food for the house,10.68%,13.00%,10.38%,19.65%,21.68%,12.68%,18.42%
I want to have a healthy meal,9.17%,7.53%,6.78%,4.52%,6.90%,8.20%,8.44%
I need something for the children,7.71%,9.78%,6.45%,10.25%,9.55%,6.51%,12.98%
I need the energy/refuel,7.07%,13.05%,7.06%,7.89%,9.40%,4.48%,7.09%
I want something indulgent; a treat,5.41%,16.59%,14.64%,14.77%,10.69%,8.39%,11.93%
I'm using up my leftovers,3.80%,5.95%,4.98%,4.22%,4.78%,3.76%,2.80%
I feel nostalgic for home,2.24%,1.20%,1.23%,1.21%,2.27%,3.71%,0.00%
"I have guests coming, so I can impress them",1.71%,1.44%,2.75%,2.11%,2.20%,2.46%,2.95%
I need something late at night,1.61%,12.37%,4.31%,4.22%,6.29%,1.49%,11.18%
