jrn_trigger: What was your main reason for buying pasta?,au_respondent net relative,fr_respondent net relative,de_respondent net relative,gr_respondent net relative,ch_respondent net relative,us_respondent net relative,tu_respondent net relative,it_respondent net relative
I wanted to stock-up,23.85%,23.88%,21.80%,27.74%,32.22%,18.13%,12.28%,28.65%
I discovered I had run out,16.05%,17.41%,19.91%,17.54%,20.62%,12.49%,24.96%,10.38%
I was preparing my shopping list,15.61%,21.73%,13.79%,12.41%,7.20%,14.56%,15.53%,
I was making meal plans for the next week,14.63%,10.41%,10.71%,10.95%,6.22%,17.94%,4.89%,
I needed to prepare lunch/ dinner for my family at home,12%,5.04%,8.10%,9.85%,7.81%,13.69%,14.08%,7.65%
I noticed a promotion on the store leaflet/circular,2.88%,4.65%,2.42%,3.67%,5.38%,4.48%,1.60%,7.73%
I noticed it in store while buying something else,2.54%,2.88%,4.22%,3.32%,4.55%,3.23%,2.65%,3.27%
I was asked to buy it by someone in my household,2.24%,2.88%,4.03%,3.32%,2.88%,1.78%,4.09%,
"I wanted to replicate a recipe I saw (book, tv, internet, magazine, etc.)",2.24%,2.35%,4.03%,1.46%,2.88%,4.00%,,1.61%
I wanted to replicate a recipe I tried at friends' home/ in a restaurant,1.61%,1.58%,2.84%,1.26%,1.29%,1.49%,2.40%,1.28%
I had guests coming and I wanted something practical,1.41%,0.77%,1.90%,2.31%,2.35%,1.54%,,0.99%
I noticed it being advertised,1.37%,0.72%,2.42%,0.50%,1.52%,2.65%,,1.03%
I needed it for a lunchbox at work,1.07%,2.06%,1.14%,2.16%,1.90%,0.43%,,0.91%
I saw it on promotion from a store email,0.98%,1.97%,0.85%,0.30%,0.99%,1.83%,,
I had guests coming and I wanted to impress them,0.78%,0.62%,1.37%,1.61%,1.36%,1.40%,,1.53%
I needed it for my children's lunchbox,0.73%,1.06%,0.47%,1.61%,0.83%,0.34%,,1.16%
I was discussing food at home and it reminded me to buy,,,,,,,6.09%,
I was inspired to try a recipe I saw on a cookings show,,,,,,,4.94%,
"I was inspired to try a recipe I saw online, on social media or through influencers",,,,,,,2.95%,
"I noticed it being advertised on TV, Posters, Social Media etc",,,,,,,1.70%,
I was planning for an upcoming event,,,,,,,1.15%,
"I was prompted by a communication from a store (by email, app or notification)",,,,,,,0.70%,
Pasta is always on my shopping list,,,,,,,,32.20%
I bought a premium ingredient to go with pasta,,,,,,,,1.07%
I needed to prepare pasta dish for a meal out with my family or friends,,,,,,,,0.54%
