jrn_importance: How important were each of these steps in determining your final purchase decision?,Phase,Channel,fr_respondent net relative,fr_respondent absolute,fr_jrn_importance - average,fr_max_norm_resp%,fr_max_nor_imp_avg,fr_index,fr_dfm_by_chnl,de_respondent net relative,de_respondent absolute,de_jrn_importance - average,de_max_norm_resp%,de_max_nor_imp_avg,de_index,de_dfm_by_chnl,it_respondent net relative,it_respondent absolute,it_jrn_importance - average,it_max_norm_resp%,it_max_nor_imp_avg,it_index,it_dfm_by_chnl,all_avge_index
Brand's website,Consideration,O,2.72%,23,3.5,0.05,0.85,0.450,0.104,9.97%,98,3.6,0.20,0.90,0.552,0.054,2.31%,19,3.5,0.04,0.85,0.447,0.123,0.483
Digital coupon,Consideration,O,3.20%,27,3.7,0.05,0.90,0.478,0.132,4.98%,49,3.7,0.10,0.93,0.514,0.015,2.43%,20,3.8,0.04,0.93,0.485,0.161,0.492
Experts/ influencers,Consideration,O,11.12%,94,3.3,0.19,0.80,0.497,0.151,7.53%,74,3.4,0.15,0.85,0.502,0.004,5.35%,44,3.5,0.10,0.85,0.475,0.150,0.491
Food App,Consideration,O,12.07%,102,3.6,0.21,0.88,0.542,0.195,,,,0.00,0.00,0.000,-0.498,,,,0.00,0.00,0.000,-0.324,0.181
Friends/ family,Consideration,OD,40.36%,341,3.8,0.69,0.93,0.807,0.413,38.45%,378,4,0.79,1.00,0.894,0.391,19.32%,159,3.6,0.34,0.88,0.611,0.179,0.771
Loyalty card,Consideration,OD,8.64%,73,3.9,0.15,0.95,0.549,0.155,5.60%,55,3.5,0.11,0.88,0.495,-0.008,11.30%,93,3.9,0.20,0.95,0.576,0.144,0.540
Newspaper/ magazine advert,Consideration,O,4.85%,41,3.4,0.08,0.83,0.456,0.110,7.83%,77,3.5,0.16,0.88,0.518,0.020,3.52%,29,3.4,0.06,0.83,0.446,0.122,0.473
Newspaper/ magazine article,Consideration,OD,14.67%,124,3.3,0.25,0.80,0.527,0.133,18.41%,181,3.5,0.38,0.88,0.626,0.123,9.36%,77,3.3,0.17,0.80,0.486,0.054,0.546
Online Store,Consideration,O,,,,0.00,0.00,0.000,-0.346,1.73%,17,3.8,0.04,0.95,0.493,-0.005,,,,0.00,0.00,0.000,-0.324,0.164
Ooh advert,Consideration,O,5.21%,44,3.2,0.09,0.78,0.435,0.088,6.82%,67,3.2,0.14,0.80,0.470,-0.028,4.01%,33,2.8,0.07,0.68,0.377,0.053,0.427
Physical Store,Consideration,O,19.17%,162,3.3,0.33,0.80,0.566,0.219,19.13%,188,3.4,0.39,0.85,0.621,0.123,34.14%,281,3.4,0.61,0.83,0.719,0.395,0.635
Push notification,Consideration,D,2.49%,21,3.4,0.04,0.83,0.436,-0.014,3.87%,38,3.4,0.08,0.85,0.465,-0.186,1.22%,10,2.9,0.02,0.71,0.365,-0.131,0.422
Retailer circular,Consideration,O,16.57%,140,3.8,0.28,0.93,0.605,0.258,38.35%,377,3.7,0.79,0.93,0.855,0.357,40.70%,335,3.7,0.73,0.90,0.815,0.490,0.758
Retailer email / newsletter,Consideration,OD,2.37%,20,3.7,0.04,0.90,0.471,0.077,8.14%,80,3.6,0.17,0.90,0.533,0.031,1.09%,9,4.1,0.02,1.00,0.510,0.078,0.505
Retailer's Magazine,Consideration,O,3.31%,28,3.3,0.06,0.80,0.431,0.084,11.09%,109,3.6,0.23,0.90,0.564,0.065,20.05%,165,3.7,0.36,0.90,0.630,0.306,0.541
Retailer's website,Consideration,D,4.14%,35,3.5,0.07,0.85,0.462,0.012,10.58%,104,3.7,0.22,0.93,0.571,-0.079,2.67%,22,3.3,0.05,0.80,0.426,-0.069,0.486
Sampling,Consideration,O,2.13%,18,3.2,0.04,0.78,0.408,0.062,3.76%,37,3.6,0.08,0.90,0.489,-0.010,1.46%,12,3.4,0.03,0.83,0.428,0.103,0.442
Search engine,Consideration,D,7.22%,61,3.6,0.12,0.88,0.501,0.051,10.99%,108,3.7,0.23,0.93,0.575,-0.075,6.08%,50,3.4,0.11,0.83,0.469,-0.027,0.515
Shopping List,Consideration,O,58.70%,496,4.1,1.00,1.00,1.000,0.654,48.83%,480,4,1.00,1.00,1.000,0.502,56.01%,461,4,1.00,0.98,0.988,0.664,0.996
Social networks,Consideration,D,18.58%,157,3.5,0.32,0.85,0.585,0.135,9.16%,90,3.5,0.19,0.88,0.531,-0.119,4.74%,39,3.1,0.08,0.76,0.420,-0.075,0.512
Specialist website,Consideration,D,5.80%,49,3.4,0.10,0.83,0.464,0.014,8.65%,85,3.8,0.18,0.95,0.564,-0.087,5.35%,44,3.5,0.10,0.85,0.475,-0.021,0.501
Traditional coupon,Consideration,O,4.62%,39,3.7,0.08,0.90,0.491,0.144,8.65%,85,3.9,0.18,0.98,0.576,0.078,5.59%,46,3.7,0.10,0.90,0.501,0.177,0.523
Tv advert,Consideration,O,6.63%,56,3.2,0.11,0.78,0.447,0.100,9.97%,98,3.4,0.20,0.85,0.527,0.029,13.61%,112,3,0.24,0.73,0.487,0.163,0.487
Video sharing platform,Consideration,D,11.24%,95,3.7,0.19,0.90,0.547,0.097,12.41%,122,3.7,0.25,0.93,0.590,-0.061,5.35%,44,3.6,0.10,0.88,0.487,-0.009,0.541
Aisle,Selection,O,70.20%,603,3.8,1.00,0.90,0.952,0.677,58.52%,577,3.9,1.00,0.95,0.976,0.439,68.70%,564,3.8,1.00,0.93,0.963,0.684,0.964
Category Page,Selection,O,,,,0.00,0.00,0.000,-0.276,2.84%,28,3.7,0.05,0.90,0.475,-0.061,,,,0.00,0.00,0.000,-0.280,0.158
Click-to-buy,Selection,O,,,,0.00,0.00,0.000,-0.276,2.54%,25,3.8,0.04,0.93,0.485,-0.052,,,,0.00,0.00,0.000,-0.280,0.162
Complementary goods (online),Selection,D,,,,0.00,0.00,0.000,-0.335,3.25%,32,4,0.06,0.98,0.516,0.028,,,,0.00,0.00,0.000,-0.411,0.172
Complementary goods aisle,Selection,O,53.78%,462,3.8,0.77,0.90,0.835,0.560,46.45%,458,3.8,0.79,0.93,0.860,0.323,34.84%,286,3.6,0.51,0.88,0.693,0.413,0.796
Delivery Page,Selection,D,,,,0.00,0.00,0.000,-0.335,1.52%,15,4.1,0.03,1.00,0.513,0.026,,,,0.00,0.00,0.000,-0.411,0.171
Favourites page,Selection,D,,,,0.00,0.00,0.000,-0.335,0.71%,7,3.9,0.01,0.95,0.482,-0.006,,,,0.00,0.00,0.000,-0.411,0.161
Free standing display unit,Selection,O,3.26%,28,3.3,0.05,0.79,0.416,0.140,4.36%,43,3.7,0.07,0.90,0.488,-0.048,3.29%,27,3.2,0.05,0.78,0.414,0.134,0.440
Friends/ family,Selection,OD,5.47%,47,3.6,0.08,0.86,0.468,0.351,11.66%,115,4,0.20,0.98,0.587,0.085,4.02%,33,4,0.06,0.98,0.517,0.388,0.524
Gondola end,Selection,O,8.96%,77,3.5,0.13,0.83,0.481,0.205,6.49%,64,3.5,0.11,0.85,0.482,-0.055,6.70%,55,3.3,0.10,0.80,0.451,0.171,0.471
In-store screen,Selection,O,0.81%,7,3.3,0.01,0.79,0.399,0.123,1.22%,12,3.3,0.02,0.80,0.413,-0.124,0.73%,6,3.5,0.01,0.85,0.432,0.152,0.415
Loyalty card,Selection,OD,8.73%,75,4.2,0.12,1.00,0.562,0.445,5.98%,59,3.7,0.10,0.90,0.502,-0.001,9.38%,77,4.1,0.14,1.00,0.568,0.439,0.544
Mobile Phone,Selection,D,3.03%,26,3.6,0.04,0.86,0.450,0.115,3.04%,30,3.6,0.05,0.88,0.465,-0.022,1.71%,14,3.9,0.02,0.95,0.488,0.078,0.468
On pack promotion,Selection,O,12.92%,111,3.8,0.18,0.90,0.544,0.269,7.61%,75,3.6,0.13,0.88,0.504,-0.033,16.81%,138,3.8,0.24,0.93,0.586,0.306,0.545
On-line advert,Selection,D,,,,0.00,0.00,0.000,-0.335,1.72%,17,3.4,0.03,0.83,0.429,-0.058,,,,0.00,0.00,0.000,-0.411,0.143
Online deal/ promotion,Selection,D,,,,0.00,0.00,0.000,-0.335,2.84%,28,3.9,0.05,0.95,0.500,0.013,,,,0.00,0.00,0.000,-0.411,0.167
Packaging,Selection,O,39.46%,339,3.8,0.56,0.90,0.733,0.458,40.67%,401,3.9,0.69,0.95,0.823,0.286,35.57%,292,3.9,0.52,0.95,0.734,0.455,0.764
